p_num,partner,discription,card_discount
1,KIBERone,Школа программирования г. Иркутск,15%
2,Ларимар,Пансионат в Краснодарском крае,10%
3,Дента,Стоматологическая клиника,10 - 50 %
4,Химик,Санаторий в Алтайском крае,5%
5,Формула красоты,Сеть магазинов косметики,10%
6,MAKSHOP,Магазин одежды,15%
7,Объ,Санаторий в Алтайском крае,10 - 20 %
8,Стоп! Снято!,Актёрская детская киностудия,20%
9,MISTER,Сеть салонов мужской одежды,8%
10,СОФИМЕД,Медицинский центр,10%
11,Кружева,Сеть салонов нижнего белья,10%
12,Мой до дыр,Магазин косметики и бытовой химии,10%
13,KIBERone,"IT-школа Братск, Иркутск (мкр. Берёзовый)",15%
14,KIBERone,"IT-школа Шелехов, Хомутово, Грановщина",15%
15,ВАРИКОЗА НЕТ,Клиника лазерной хирургии,5 - 50 %
16,ExtraVert,Развлекательный центр,20%
17,Устье,"Гостевой дом, Респ. Бурятия",5 - 10 %
18,Аршан,Курорт,10%
19,Горячинск,Санаторий,10%
20,Al'denta,Сеть стоматологических клиник,10%
21,Komilfo,Домашняя пекарня,10%
22,Фаворит,Ремонт мобильной и компьютерной техники,20%
23,ПАТРИОТ,Военно-патриотический парк,10%
24,NARADA,Студия йоги,10 - 15 %
25,Home&Beauty,Сеть магазинов косметики,10%
26,DAVI,Сеть магазинов мужской и женской одежды,20%
27,Алиса,Оздоровительный центр,5 - 10 %
28,"Продюсерский центр ""ПроДвижение""","Мероприятия, конкурсы, модные показы",10%
29,НУЖНЫЙ РАЗМЕР,Магазин мужских сорочек и аксессуаров,10%
30,СибВерк-Байкал,"Книги, канцелярия, игрушки",7%
31,Иркутский Зоосад,Зоопарк,20%
32,Мебелевич,Мебель на заказ,3%
33,GRILLMAN,Ресторан доставки вкусной еды,10%
34,FlyPeople,Аэротруба,10%
35,FIZRUK,Фитнес-клуб,20%
36,WORLD CLASS,Фитнес-клуб,30%
37,100ДЕЛ,Инструменты и оборудование,5%
38,Боцман,Сеть рыболовно-туристических магазинов,10%
39,Центр пиротехники,Центр пиротехники,10%
40,Автобарп,Запчасти на отечественные автомобили,5%
41,Северное сияние,Ателье-магазины по пошиву унтов,10%
42,Рыбный мир,Магазин морепродуктов и японских блюд,7%
43,Соната,Сеть салонов оптики,10%
44,АЛМАЗ,Ювелирная сеть,15%
45,Удача,Сеть универсамов,5%
46,КрайсНефть,Сеть АЗК,1%
47,Кузя,Станция технического обслуживания,20%
48,Дискавери маркет,Универсальный магазин,20%
49,Мауро,Сантехмаркет,5%
50,Декор,Студия цветов,15%
51,Чадо Радо,Товары для детей,5 - 10 %
52,Яблоко,Стоматологический центр,10%
53,Автолидер,Автошкола,"1000 руб, %"
54,JAZZ,Мебель на заказ,7%
55,Элегант-ВиД,Мужская и школьная одежда,10%
56,Melasso Home,Сеть салонов текстильного дизайна,10%
57,Лоза,Сеть алкогольных магазинов,5%
58,Виноград,Сеть алкомаркетов,5%
59,Багира,Сеть супермаркетов,5%
60,Арт Флора,Сеть салонов цветов,10%
61,Путёвка,Туроператор,5 - 20 %
62,Олимп,Фитнес-студия,10%
63,Таловское,Эко-центр,5%
64,Русь,Коттеджный городок,5%
65,Соболинка,Парк-отель,5%
66,Байкал Бизнес Центр,Бизнес-отель,5%
67,Дельта,Бизнес-отель,5%
68,Top4Service,Автосервис,10-15 %
69,Вид,"Швейная фабрика, магазины мужской одежды",5%
70,Роскошь,Сеть ювелирных салонов,15%
71,Авангард,Сеть магазинов стальных и межкомнатных дверей,10%
72,Алтан,База отдыха,10%
73,Эстетик,Центр врачебной косметологии,5%
74,Капитель,Магазины строительных и отделочных материалов,5%
75,ZOO LOVE,Зоомаркет,3%
76,Звездный,Парк-отель,5%
77,Электра,Санаторий,5%
78,Весна,Фитнес-клуб,50%
79,Ларимар,Пансионат в Краснодарском крае,10%
80,Имидж,Спортивно-оздоровительный комплекс,10%
81,Химик,Санаторий в Алтайском крае,5%
82,Объ,Санаторий в Алтайском крае,10 - 20 %
83,Устье,"Гостевой дом, Респ. Бурятия",5 - 10 %
84,Аршан,Курорт,10%
85,Горячинск,Санаторий,10%
86,100ДЕЛ,Инструменты и оборудование,5%
87,Лоза,Сеть алкогольных магазинов,5%
88,Алмаз,Салон оптики,10 - 20 %
89,Путёвка,Туроператор,5 - 20 %
90,Nomadsshop,Магазин национальных сувениров,10%
91,Таловское,Эко-центр,5%
92,Русь,Коттеджный городок,5%
93,Соболинка,Парк-отель,5%
94,Байкал Бизнес Центр,Бизнес-отель,5%
95,Дельта,Бизнес-отель,5%
96,ELIT,Медицинская одежда и обувь,10%
97,Ритм,Сеть многопрофильных медицинских центров,15%
98,Грэйс,"Канцелярия, бумага, мебель, товары для творчества",10%
99,Техсистемы,"Технические системы для дома, офиса и дачи",5%
100,Смит,Строительные и отделочные материалы,15%
101,Алтан,База отдыха,10%
102,Планета,Гипермаркет одежды и обуви,5%
103,Ювелирная Компания “SMIRNOV”,Ювелирный салон,25%
104,Электра,Санаторий,5%
105,Мега техника,Торговый центр,5%
106,Юни Ленд,Cупермаркет детских товаров,5%
107,СТ-техник,Дисконт-центр,5%
108,Сто тысяч мелочей,Гипермаркет товаров для дома,5%
109,МегаСпорт,Магазин спортивных товаров,5%
110,Мебель House,Торговый мебельный центр,5%
111,Астория +,Агентство недвижимости,10%
112,Турлидер,Туристическое агентство,7%
113,Автомойка на Автограде,Автомоечный комплекс,10%
114,Хиттон,Магазин мужской одежды,3%
115,Водолей,Магазин мужской одежды,3%
116,IGORA,Парикмахерская,20%
117,Воздушный поцелуй,Студия аэродизайна,10%
118,Геосфера,Рекламное агентство,5%
119,Весь мир,Туристическая компания,5%
120,Цветочный BAZAAR,Салон цветов и декора,20%
121,Ценопад,Магазин одежды и обуви,10%
122,Пора за руль,Автошкола,12%
123,Гранд-Гигант,Гипермаркет одежды и обуви,10%
124,Ларимар,Пансионат в Краснодарском крае,10%
125,Химик,Санаторий в Алтайском крае,5%
126,Объ,Санаторий в Алтайском крае,10 - 20 %
127,Стоп! Снято!,Актёрская детская киностудия,20%
128,ВАРИКОЗА НЕТ,Клиника лазерной хирургии,5 - 50 %
129,Устье,"Гостевой дом, Респ. Бурятия",5 - 10 %
130,Аршан,Курорт,10%
131,Тарко-Ферма,"Мясо, полуфабрикаты",5%
132,Горячинск,Санаторий,10%
133,Al'denta,Сеть стоматологических клиник,10%
134,Home&Beauty,Сеть магазинов косметики,10%
135,"Продюсерский центр ""ПроДвижение""","Мероприятия, конкурсы, модные показы",10%
136,НУЖНЫЙ РАЗМЕР,Магазин мужских сорочек и аксессуаров,10%
137,Алика,"Натяжные потолки, жалюзи",5%
138,Mg_ang,Студия массажа,15%
139,Макфудс,Ресторан быстрого питания,5%
140,МедПрестиж,Медицинский центр,10%
141,My Master,Студия красоты,10 - 20 %
142,СВ-Дент,Стоматологическая клиника,4%
143,Мебелевич,Мебель на заказ,3%
144,Энергия,Спортивный клуб,10%
145,FITNOTEKA,Фитнес-клуб,10 - 40 %
146,Лотос,Студия фитнеса,10%
147,Robot wash,Автомойка,10 - 15 %
148,Цветочный дворик,Салон цветов,10%
149,РосАвтоКлуб,Автосервис,5 - 10 %
150,WORLD CLASS,Фитнес-клуб,30%
151,100ДЕЛ,Инструменты и оборудование,5%
152,Боцман,Сеть рыболовно-туристических магазинов,10%
153,Центр пиротехники,Центр пиротехники,10%
154,Северное сияние,Ателье-магазины по пошиву унтов,10%
155,Соната,Сеть салонов оптики,10%
156,АЛМАЗ,Ювелирная сеть,15%
157,КрайсНефть,Сеть АЗК,1%
158,Мауро,Сантехмаркет,5%
159,JAZZ,Мебель на заказ,7%
160,Лоза,Сеть алкогольных магазинов,5%
161,Виноград,Сеть алкомаркетов,5%
162,Путёвка,Туроператор,5 - 20 %
163,Изумруд,Ювелирная фирма,15%
164,Таловское,Эко-центр,5%
165,Русь,Коттеджный городок,5%
166,Соболинка,Парк-отель,5%
167,Байкал Бизнес Центр,Бизнес-отель,5%
168,Дельта,Бизнес-отель,5%
169,Вид,"Швейная фабрика, магазины мужской одежды",5%
170,Авангард,Сеть магазинов стальных и межкомнатных дверей,10%
171,Алтан,База отдыха,10%
172,Звездный,Парк-отель,5%
173,Электра,Санаторий,5%
174,Ларимар,Пансионат в Краснодарском крае,10%
175,Химик,Санаторий в Алтайском крае,5%
176,Объ,Санаторий в Алтайском крае,10 - 20 %
177,Стоп! Снято!,Актёрская детская киностудия,20%
178,СОФИМЕД,Медицинский центр,10%
179,Кружева,Сеть салонов нижнего белья,10%
180,Премьер-Флора,Салон цветов,5%
181,KIBERone,"IT-школа Шелехов, Хомутово, Грановщина",15%
182,ВАРИКОЗА НЕТ,Клиника лазерной хирургии,5 - 50 %
183,ExtraVert,Развлекательный центр,20%
184,Устье,"Гостевой дом, Респ. Бурятия",5 - 10 %
185,Аршан,Курорт,10%
186,Горячинск,Санаторий,10%
187,Avtoshel,Автомойка,5 - 10 %
188,SoFit,Студия фитнеса,10%
189,Take a look,Магазин женской одежды,15%
190,МилаЯ,Салон женской одежды,30%
191,Levita,Cтудия красоты,10%
192,Идеи ремонта,Магазин по продаже отделочных материалов,10%
193,АвтоВелоМото,Магазин автозапчастей,3%
194,Stevenson,Бар,10%
195,Акуна Матата,Детский развлекательный комплекс,5 - 10 %
196,Теана,Магазин сувениров и аниме,10%
197,Home&Beauty,Сеть магазинов косметики,10%
198,"Продюсерский центр ""ПроДвижение""","Мероприятия, конкурсы, модные показы",10%
199,Иркутский Зоосад,Зоопарк,20%
200,Мир золота,Сеть ювелирных салонов,5-35 %
201,Макфудс,Ресторан быстрого питания,5%
202,Русский чай,Кафе,5-7 %
203,Боцман,Сеть рыболовно-туристических магазинов,10%
204,Центр пиротехники,Центр пиротехники,10%
205,АЛМАЗ,Ювелирная сеть,15%
206,Удача,Сеть универсамов,5%
207,КрайсНефть,Сеть АЗК,1%
208,Мауро,Сантехмаркет,5%
209,Декор,Студия цветов,15%
210,Живой мотор,Магазин моторных масел,10%
211,Садовый центр,Всё для сада и огорода,10%
212,Чадо Радо,Товары для детей,5 - 10 %
213,Яблоко,Стоматологический центр,10%
214,Автолидер,Автошкола,"1000 руб, %"
215,Элегант-ВиД,Мужская и школьная одежда,10%
216,Виноград,Сеть алкомаркетов,5%
217,Путёвка,Туроператор,5 - 20 %
218,Олимп,Фитнес-студия,10%
219,Таловское,Эко-центр,5%
220,Русь,Коттеджный городок,5%
221,Соболинка,Парк-отель,5%
222,Байкал Бизнес Центр,Бизнес-отель,5%
223,Дельта,Бизнес-отель,5%
224,Алтан,База отдыха,10%
225,Капитель,Магазины строительных и отделочных материалов,5%
226,Электра,Санаторий,5%
227,Ларимар,Пансионат в Краснодарском крае,10%
228,Химик,Санаторий в Алтайском крае,5%
229,Объ,Санаторий в Алтайском крае,10 - 20 %
230,Устье,"Гостевой дом, Респ. Бурятия",5 - 10 %
231,Аршан,Курорт,10%
232,Горячинск,Санаторий,10%
233,Макфудс,Ресторан быстрого питания,5%
234,Центр пиротехники,Центр пиротехники,10%
235,АЛМАЗ,Ювелирная сеть,15%
236,КрайсНефть,Сеть АЗК,1%
237,Мауро,Сантехмаркет,5%
238,Виноград,Сеть алкомаркетов,5%
239,Путёвка,Туроператор,5 - 20 %
240,Таловское,Эко-центр,5%
241,Русь,Коттеджный городок,5%
242,Соболинка,Парк-отель,5%
243,Байкал Бизнес Центр,Бизнес-отель,5%
244,Дельта,Бизнес-отель,5%
245,Вид,"Швейная фабрика, магазины мужской одежды",5%
246,Алтан,База отдыха,10%
247,Электра,Санаторий,5%
248,Ларимар,Пансионат в Краснодарском крае,10%
249,Химик,Санаторий в Алтайском крае,5%
250,Объ,Санаторий в Алтайском крае,10 - 20 %
251,KIBERone,"IT-школа Братск, Иркутск (мкр. Берёзовый)",15%
252,Устье,"Гостевой дом, Респ. Бурятия",5 - 10 %
253,Аршан,Курорт,10%
254,Горячинск,Санаторий,10%
255,Северное сияние,Ателье-магазины по пошиву унтов,10%
256,КрайсНефть,Сеть АЗК,1%
257,Мауро,Сантехмаркет,5%
258,Лоза,Сеть алкогольных магазинов,5%
259,Виноград,Сеть алкомаркетов,5%
260,Путёвка,Туроператор,5 - 20 %
261,Таловское,Эко-центр,5%
262,Русь,Коттеджный городок,5%
263,Соболинка,Парк-отель,5%
264,Байкал Бизнес Центр,Бизнес-отель,5%
265,Дельта,Бизнес-отель,5%
266,Братский бензин,Сеть АЗС,2%
267,Алые паруса,Торговая сеть,8%
268,Зрение,Сеть салонов оптики,10%
269,FITNESS LAND,Фитнес-клуб,10%
270,Алтан,База отдыха,10%
271,Санчо Пицца,Доставка вкусной пиццы,10%
272,Капитель,Магазины строительных и отделочных материалов,5%
273,Электра,Санаторий,5%
274,Ларимар,Пансионат в Краснодарском крае,10%
275,Химик,Санаторий в Алтайском крае,5%
276,Объ,Санаторий в Алтайском крае,10 - 20 %
277,Устье,"Гостевой дом, Респ. Бурятия",5 - 10 %
278,Аршан,Курорт,10%
279,Горячинск,Санаторий,10%
280,КрайсНефть,Сеть АЗК,1%
281,Мауро,Сантехмаркет,5%
282,JAZZ,Мебель на заказ,7%
283,Путёвка,Туроператор,5 - 20 %
284,Бензоэлектромастер,Электроинструмент,5%
285,Таловское,Эко-центр,5%
286,Русь,Коттеджный городок,5%
287,Соболинка,Парк-отель,5%
288,Байкал Бизнес Центр,Бизнес-отель,5%
289,Дельта,Бизнес-отель,5%
290,Алтан,База отдыха,10%
291,Электра,Санаторий,5%
292,Ларимар,Пансионат в Краснодарском крае,10%
293,Химик,Санаторий в Алтайском крае,5%
294,Объ,Санаторий в Алтайском крае,10 - 20 %
295,Устье,"Гостевой дом, Респ. Бурятия",5 - 10 %
296,Аршан,Курорт,10%
297,Горячинск,Санаторий,10%
298,100ДЕЛ,Инструменты и оборудование,5%
299,КрайсНефть,Сеть АЗК,1%
300,Путёвка,Туроператор,5 - 20 %
301,Таловское,Эко-центр,5%
302,Русь,Коттеджный городок,5%
303,Соболинка,Парк-отель,5%
304,Байкал Бизнес Центр,Бизнес-отель,5%
305,Дельта,Бизнес-отель,5%
306,Алтан,База отдыха,10%
307,Электра,Санаторий,5%
308,Ларимар,Пансионат в Краснодарском крае,10%
309,Химик,Санаторий в Алтайском крае,5%
310,Объ,Санаторий в Алтайском крае,10 - 20 %
311,Устье,"Гостевой дом, Респ. Бурятия",5 - 10 %
312,Аршан,Курорт,10%
313,Горячинск,Санаторий,10%
314,КрайсНефть,Сеть АЗК,1%
315,Путёвка,Туроператор,5 - 20 %
316,Таловское,Эко-центр,5%
317,Русь,Коттеджный городок,5%
318,Соболинка,Парк-отель,5%
319,Байкал Бизнес Центр,Бизнес-отель,5%
320,Дельта,Бизнес-отель,5%
321,Эксперт Центр,Консалтинг в бухгалтерской и налоговой сфере,5%
322,Виконт,Салон мужской одежды,10%
323,Вавилон,Дом одежды,10%
324,Нужный размер,Ателье мебели,2%
325,Ривьера,Строительные и хозяйственные товары,5%
326,Кристалл+,Строительные материалы и товары для дома,5%
327,Аметист,Сеть ювелирных магазинов,8%
328,СтудиоРемонта,Строительная фирма,15%
329,Надежда,Мебельный магазин,5%
330,СТОМАТОЛОГиЯ,Стоматологическая клиника,5%
331,Зрение,Сеть салонов оптики,10%
332,Алтан,База отдыха,10%
333,Электра,Санаторий,5%
334,Гранд-Гигант,Гипермаркет одежды и обуви,10%
335,Ларимар,Пансионат в Краснодарском крае,10%
336,Химик,Санаторий в Алтайском крае,5%
337,Объ,Санаторий в Алтайском крае,10 - 20 %
338,Устье,"Гостевой дом, Респ. Бурятия",5 - 10 %
339,Аршан,Курорт,10%
340,Горячинск,Санаторий,10%
341,Мир золота,Сеть ювелирных салонов,5-35 %
342,КрайсНефть,Сеть АЗК,1%
343,JAZZ,Мебель на заказ,7%
344,Путёвка,Туроператор,5 - 20 %
345,Таловское,Эко-центр,5%
346,Русь,Коттеджный городок,5%
347,Соболинка,Парк-отель,5%
348,Байкал Бизнес Центр,Бизнес-отель,5%
349,Дельта,Бизнес-отель,5%
350,Алтан,База отдыха,10%
351,Электра,Санаторий,5%
352,Ларимар,Пансионат в Краснодарском крае,10%
353,Химик,Санаторий в Алтайском крае,5%
354,Объ,Санаторий в Алтайском крае,10 - 20 %
355,Устье,"Гостевой дом, Респ. Бурятия",5 - 10 %
356,Аршан,Курорт,10%
357,Горячинск,Санаторий,10%
358,Мир золота,Сеть ювелирных салонов,5-35 %
359,КрайсНефть,Сеть АЗК,1%
360,Путёвка,Туроператор,5 - 20 %
361,Таловское,Эко-центр,5%
362,Русь,Коттеджный городок,5%
363,Соболинка,Парк-отель,5%
364,Байкал Бизнес Центр,Бизнес-отель,5%
365,Дельта,Бизнес-отель,5%
366,Алтан,База отдыха,10%
367,Электра,Санаторий,5%
368,Ларимар,Пансионат в Краснодарском крае,10%
369,Химик,Санаторий в Алтайском крае,5%
370,ВАРИКОЗА НЕТ,Клиника лазерной хирургии,5 - 50 %
371,Объ,Санаторий в Алтайском крае,10 - 20 %
372,Медлюксик,Детский медицинский центр,10%
373,Устье,"Гостевой дом, Респ. Бурятия",5 - 10 %
374,Аршан,Курорт,10%
375,Горячинск,Санаторий,10%
376,Гудвин,Мебельный салон,10%
377,Путёвка,Туроператор,5 - 20 %
378,Магитон,Магазины детских товаров,5%
379,Интерия,Сеть мебельных салонов,10%
380,Престиж-Интерьер,Сеть магазинов строительных материалов,5%
381,Удачный шарик,Магазины воздушных шаров,10%
382,Мемори-Я,Центр развития памяти,10%
383,Воображуля,Студия детской красоты,15%
384,Оптика 36,Сеть салонов оптики,10%
385,Медлюкс,Центр мужского и женского здоровья,10%
386,Дента Люксик,Детская стоматология,10%
387,Медлюкс,Многопрофильный медицинский центр,10%
388,Дента Люкс,Сеть стоматологических клиник,10%
389,Облака,Центр развлечений,5%
390,Подземка,Автомойка,10%
391,Сам Себе Путешественник,Туристическое агентство,5%
392,Счастливая Жизнь,Детский центр развития,5%
393,Подсолнух,Профессиональная студия загара,5%
394,Таловское,Эко-центр,5%
395,Русь,Коттеджный городок,5%
396,Соболинка,Парк-отель,5%
397,Байкал Бизнес Центр,Бизнес-отель,5%
398,Дельта,Бизнес-отель,5%
399,Роскошь,Сеть ювелирных салонов,15%
400,Алтан,База отдыха,10%
401,Электра,Санаторий,5%
402,Ларимар,Пансионат в Краснодарском крае,10%
403,Химик,Санаторий в Алтайском крае,5%
404,Объ,Санаторий в Алтайском крае,10 - 20 %
405,Устье,"Гостевой дом, Респ. Бурятия",5 - 10 %
406,Аршан,Курорт,10%
407,Горячинск,Санаторий,10%
408,КрайсНефть,Сеть АЗК,1%
409,Мауро,Сантехмаркет,5%
410,Виноград,Сеть алкомаркетов,5%
411,Путёвка,Туроператор,5 - 20 %
412,Таловское,Эко-центр,5%
413,Русь,Коттеджный городок,5%
414,Соболинка,Парк-отель,5%
415,Байкал Бизнес Центр,Бизнес-отель,5%
416,Дельта,Бизнес-отель,5%
417,Алтан,База отдыха,10%
418,Электра,Санаторий,5%
419,Ларимар,Пансионат в Краснодарском крае,10%
420,Химик,Санаторий в Алтайском крае,5%
421,Объ,Санаторий в Алтайском крае,10 - 20 %
422,Устье,"Гостевой дом, Респ. Бурятия",5 - 10 %
423,Аршан,Курорт,10%
424,Горячинск,Санаторий,10%
425,Мауро,Сантехмаркет,5%
426,Путёвка,Туроператор,5 - 20 %
427,Таловское,Эко-центр,5%
428,Русь,Коттеджный городок,5%
429,Соболинка,Парк-отель,5%
430,Байкал Бизнес Центр,Бизнес-отель,5%
431,Дельта,Бизнес-отель,5%
432,Алтан,База отдыха,10%
433,Электра,Санаторий,5%
434,Ларимар,Пансионат в Краснодарском крае,10%
435,Химик,Санаторий в Алтайском крае,5%
436,Объ,Санаторий в Алтайском крае,10 - 20 %
437,Устье,"Гостевой дом, Респ. Бурятия",5 - 10 %
438,Аршан,Курорт,10%
439,Горячинск,Санаторий,10%
440,Золотой Дом,Ювелирный салон,10%
441,Путёвка,Туроператор,5 - 20 %
442,ТД Фортуна,Магазин строительных материалов,3%
443,Miss Capris,Салон нижнего белья и колгот,10%
444,Бензоэлектромастер,Электроинструмент,5%
445,КНИГИ,Книжный магазин,5%
446,Mahaon Art,Студия цветов и подарков,10%
447,Таловское,Эко-центр,5%
448,Русь,Коттеджный городок,5%
449,Соболинка,Парк-отель,5%
450,Байкал Бизнес Центр,Бизнес-отель,5%
451,Дельта,Бизнес-отель,5%
452,Алтан,База отдыха,10%
453,Электра,Санаторий,5%
454,Ларимар,Пансионат в Краснодарском крае,10%
455,Химик,Санаторий в Алтайском крае,5%
456,Объ,Санаторий в Алтайском крае,10 - 20 %
457,Устье,"Гостевой дом, Респ. Бурятия",5 - 10 %
458,Аршан,Курорт,10%
459,Горячинск,Санаторий,10%
460,VOSK & SAHAR,Студия депиляции,10%
461,Авангард,Строймаркет,5 - 10 %
462,Вид,"Окна, двери, жалюзи",10%
463,Паритет,Мебельный магазин,5 - 10 %
464,Остров Сокровищ,"Магазин игрушек, спорттоваров, сувениров",5%
465,Алые Паруса,"Книги, канцтовары",5%
466,ЗДОРОВЬЕ,Фитнес центр,5 - 10 %
467,Каскад,Бензо-электроинструмент,5%
468,Хамелеон,Фотокопицентр,5%
469,СКАЗКА,"Ткани, шторы, одежда",5%
470,Рыболов,"Всё для рыбалки, туризма, отдыха",7%
471,Версаль,"Косметика, хоз. товары",3%
472,Vесенний Sад,Салоны цветов,7%
473,Чародейка,Магазин домашнего трикотажа,10%
474,АВТОСТОП,Кафе,5%
475,Надежда,Аптечная сеть,3 - 5 %
476,КрайсНефть,Сеть АЗК,1%
477,Путёвка,Туроператор,5 - 20 %
478,Таловское,Эко-центр,5%
479,Русь,Коттеджный городок,5%
480,Соболинка,Парк-отель,5%
481,Байкал Бизнес Центр,Бизнес-отель,5%
482,Дельта,Бизнес-отель,5%
483,Алтан,База отдыха,10%
484,Электра,Санаторий,5%
485,Ларимар,Пансионат в Краснодарском крае,10%
486,Химик,Санаторий в Алтайском крае,5%
487,Объ,Санаторий в Алтайском крае,10 - 20 %
488,Устье,"Гостевой дом, Респ. Бурятия",5 - 10 %
489,Аршан,Курорт,10%
490,Горячинск,Санаторий,10%
491,Путёвка,Туроператор,5 - 20 %
492,Таловское,Эко-центр,5%
493,Русь,Коттеджный городок,5%
494,Соболинка,Парк-отель,5%
495,Байкал Бизнес Центр,Бизнес-отель,5%
496,Дельта,Бизнес-отель,5%
497,Электра,Санаторий,5%
498,Ларимар,Пансионат в Краснодарском крае,10%
499,Химик,Санаторий в Алтайском крае,5%
500,Объ,Санаторий в Алтайском крае,10 - 20 %